Protocol,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Tot,Fwd IAT Std,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Seg Size Min,Active Std,Active Max,Active Min,Idle Std,Idle Min,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,DoS attacks-SynFlood,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
6,0,0,0,0.0,0,0.0,0.0,0.0,165.0,0.0,165,0.0,165,0,0.0,0,0,0,0,0,0,12121.21212,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,255,-1,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,231,97,0,24.25,0,57.75,115.5,57.27156851,818157.1429,2137358.117,62146,35565.69578,120,5726897,3305899.848,5726290,252,0,0,0,0,0.698433762,0.698433762,79.69960965,0,0,0,1,0,0,0,1,41.0,24.25,57.75,0,0,0,0,0,0,4,8192,141,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1731,741,0,104.0,0,216.375,405.4647906,786.1767094,193037.9048,278243.7338,4053796,390303.3242,3,4020536,447189.3659,1241029,107984,0,0,0,0,3.453553164,1.973458951,280.3867177,0,0,1,1,0,0,0,0,144.8636364,104.0,216.375,0,0,0,0,0,0,14,8192,62629,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,582,103,0,52.0,0,116.4,167.0353256,1134.970282,75772.90909,88328.98891,833502,72715.66227,5861,642129,33534.02679,185052,110995,0,0,0,0,8.398300184,5.998785846,109.5332171,0,0,0,1,0,0,0,0,78.83333333,52.0,116.4,0,0,0,0,0,0,7,8192,255,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,85,53,53,53.0,85,85.0,0.0,229617.3045,601.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,1663.893511,1663.893511,18.47520861,0,0,0,0,0,0,0,1,95.5,53.0,85.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0.0,0,0.0,0.0,0.0,68.0,0.0,68,0.0,68,0,0.0,0,0,0,0,0,0,29411.76471,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,-1,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,116,60,60,60.0,116,116.0,0.0,171372.9309,1027.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,973.7098345,973.7098345,32.33161507,0,0,0,0,0,0,0,1,118.0,60.0,116.0,0,0,0,0,0,0,1,-1,-1,8,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,31,31,31.0,0,0.0,0.0,3.843342865,16100000.0,0.0,16100000,0.0,16100000,0,0.0,0,0,1,0,0,0,0.123978802,0.0,0.0,0,1,0,0,1,1,0,0,46.5,31.0,0.0,0,0,0,0,0,0,2,64,-1,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1581,661,0,141.0,0,225.8571429,430.0986044,2193.781613,88203.85714,249773.0654,1234854,385301.9682,3,1199243,369782.8392,953148,35811,0,0,0,0,6.478498673,5.668686339,317.731274,0,0,1,1,0,0,0,0,180.6,141.0,225.8571429,0,0,0,0,0,0,8,8192,62872,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,488,161,0,53.66666667,0,122.0,244.0,662244.898,163.3333333,102.1756657,497,133.6431816,154,703,188.6911056,402,30,0,0,0,0,3061.22449,4081.632653,173.7875859,0,0,0,1,0,0,0,1,92.71428571,53.66666667,122.0,0,0,0,0,0,0,3,8192,149,20,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
